Lat,Lon,Elev,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Clust
36.0333,-114.3333,390,0.272,0.191,0.131,0.047,0.022,0.011,0.039,0.07,0.084,0.094,0.181,0.224,1
31.7,-110.05,1405,0.462,0.277,0.175,0.065,0.038,0.106,0.434,0.494,0.308,0.253,0.269,0.495,3
33.5,-112.8833,351,0.41,0.294,0.196,0.062,0.023,0.021,0.095,0.17,0.157,0.143,0.256,0.439,1
36.1333,-111.2333,1533,0.442,0.291,0.205,0.11,0.068,0.047,0.105,0.154,0.169,0.213,0.305,0.488,1
32.25,-111.2,781,0.501,0.326,0.21,0.08,0.032,0.054,0.268,0.341,0.273,0.257,0.322,0.589,3
32.2833,-110.95,710,0.486,0.324,0.209,0.08,0.032,0.052,0.253,0.311,0.259,0.248,0.314,0.543,3
32.25,-110.8333,770,0.476,0.317,0.205,0.08,0.029,0.058,0.275,0.328,0.26,0.243,0.305,0.522,3
32.2333,-110.95,755,0.446,0.294,0.184,0.071,0.027,0.052,0.257,0.312,0.253,0.237,0.286,0.49,3
32.25,-111,706,0.445,0.301,0.19,0.071,0.027,0.05,0.242,0.301,0.25,0.236,0.294,0.501,3
32.1333,-110.95,777,0.427,0.281,0.176,0.065,0.027,0.054,0.276,0.328,0.257,0.231,0.272,0.46,3
31.5667,-111.05,996,0.547,0.363,0.244,0.079,0.036,0.096,0.456,0.503,0.366,0.322,0.376,0.726,3
34.7667,-112.0333,1058,0.927,0.728,0.489,0.208,0.113,0.082,0.284,0.39,0.31,0.336,0.65,0.962,4
37,-111.4833,1137,0.487,0.309,0.2,0.105,0.064,0.04,0.098,0.148,0.146,0.212,0.342,0.472,1
34.9333,-112.8167,1551,0.806,0.608,0.408,0.182,0.174,0.104,0.288,0.382,0.304,0.301,0.547,0.817,1
33.8167,-109.9833,1560,1,0.724,0.5,0.2,0.092,0.11,0.364,0.547,0.431,0.459,0.676,0.974,4
33.9833,-112.7333,639,0.623,0.487,0.331,0.104,0.039,0.042,0.153,0.248,0.219,0.185,0.365,0.626,1
34.7,-113.6167,613,0.477,0.348,0.23,0.088,0.038,0.033,0.11,0.171,0.153,0.151,0.283,0.454,1
32.25,-109.8333,1272,0.495,0.299,0.174,0.065,0.037,0.089,0.336,0.387,0.281,0.278,0.29,0.549,3
35.2333,-112.1833,2057,1,1,1,0.536,0.173,0.125,0.393,0.517,0.443,0.509,0.908,1,4
35.8667,-114.6667,226,0.155,0.111,0.071,0.026,0.011,0.003,0.017,0.041,0.052,0.049,0.104,0.129,1
35.6167,-109.1167,2109,0,0.561,0.893,0.178,0.113,0.104,0.265,0.349,0.309,0.406,0.594,0.308,5
35.0333,-110.7167,1489,0.609,0.416,0.267,0.126,0.069,0.059,0.181,0.26,0.245,0.308,0.439,0.681,1
35.5167,-111.3667,1496,0.813,0.59,0.401,0.186,0.112,0.068,0.192,0.262,0.262,0.329,0.562,0.878,1
33.6,-112.3,346,0.391,0.282,0.185,0.05,0.018,0.019,0.08,0.143,0.151,0.148,0.24,0.361,1
34.8833,-114.1333,594,0.404,0.277,0.186,0.074,0.027,0.023,0.077,0.129,0.115,0.129,0.233,0.394,1
32.6167,-114.6333,58,0.165,0.095,0.051,0.021,0.007,0.007,0.028,0.06,0.056,0.062,0.08,0.178,1
32.8333,-114.4,99,0.183,0.109,0.066,0.028,0.008,0.008,0.036,0.071,0.078,0.076,0.105,0.202,1
32.7167,-114.7167,37,0.148,0.082,0.043,0.02,0.007,0.007,0.024,0.054,0.05,0.06,0.079,0.163,1
32.6667,-114.6,63,0.164,0.095,0.057,0.022,0.007,0.007,0.028,0.059,0.056,0.063,0.09,0.181,1
41.2,-120.95,1279,1,0.978,0.757,0.811,0.407,0.207,0.094,0.099,0.219,0.691,1,1,7
32.8333,-116.7833,529,1,1,1,0.476,0.118,0.027,0.031,0.051,0.072,0.174,0.66,0.99,4
41.5,-120.55,1341,1,1,0.916,0.586,0.247,0.142,0.063,0.076,0.167,0.553,1,1,7
33.8667,-117.85,102,1,1,0.941,0.28,0.063,0.011,0.007,0.015,0.051,0.114,0.59,0.944,4
38.5667,-122.4333,523,0.841,0.888,0.987,1,0.415,0.119,0.053,0.055,0.157,0.655,0.987,0.908,7
37.9833,-121.75,18,1,1,1,0.599,0.149,0.054,0.026,0.026,0.063,0.302,0.908,1,7
36.4833,-118.8333,521,1,1,1,0.723,0.19,0.064,0.031,0.028,0.074,0.229,0.864,1,7
37.1,-119.5167,637,0.919,0.948,0.988,0.954,0.278,0.076,0.029,0.026,0.104,0.372,0.988,0.972,7
38.9,-121.0833,394,0.841,0.884,0.97,1,0.418,0.112,0.053,0.05,0.165,0.628,0.939,0.881,7
33.35,-118.3167,8,0.997,0.928,0.54,0.217,0.069,0.027,0.021,0.029,0.051,0.112,0.544,0.85,4
35.2667,-116.0667,286,0.174,0.112,0.058,0.018,0.007,0.008,0.027,0.047,0.043,0.035,0.053,0.116,1
35.4333,-119.05,149,0.624,0.501,0.307,0.136,0.047,0.018,0.008,0.013,0.037,0.095,0.335,0.534,1
36.9167,-119.0833,524,0.999,0.986,1,0.844,0.203,0.049,0.016,0.012,0.074,0.298,0.95,1,7
34.8833,-117.0167,707,0.393,0.235,0.133,0.066,0.023,0.01,0.029,0.047,0.046,0.055,0.184,0.346,1
33.9333,-116.9667,792,1,1,1,0.739,0.204,0.053,0.044,0.065,0.117,0.21,0.755,1,7
37.0833,-122.0833,128,0.926,0.919,0.976,0.897,0.2,0.062,0.035,0.036,0.116,0.52,1,0.854,7
37.8667,-122.2667,94,0.945,0.986,1,0.951,0.299,0.109,0.064,0.06,0.122,0.502,1,1,7
40.7333,-123.2,381,0.711,0.763,0.823,1,0.638,0.233,0.108,0.129,0.311,0.903,0.841,0.651,7
34.25,-116.8833,2069,1,1,1,1,0.651,0.237,0.246,0.288,0.282,0.428,0.965,1,7
37.3667,-118.35,1250,1,1,0.59,0.163,0.073,0.038,0.028,0.027,0.056,0.135,0.609,0.998,4
39.2833,-120.7167,1609,0.602,0.591,0.645,0.934,0.834,0.223,0.069,0.089,0.294,0.909,0.651,0.733,7
33.6167,-114.6,82,0.192,0.116,0.068,0.024,0.007,0.006,0.022,0.07,0.064,0.061,0.106,0.19,1
33.6167,-114.7167,120,0.198,0.109,0.073,0.025,0.007,0.007,0.026,0.071,0.058,0.045,0.076,0.156,1
39.3833,-120.1,1699,1,1,0.916,0.869,0.56,0.212,0.095,0.098,0.214,0.684,0.986,0.979,7
38.2167,-119.0167,2551,0.951,0.847,1,0.778,0.554,0.317,0.175,0.153,0.219,0.562,1,1,7
33.2333,-116.4167,245,0.884,0.646,0.435,0.207,0.071,0.016,0.029,0.07,0.077,0.123,0.408,0.704,1
39.45,-120.65,1641,0.679,0.684,0.776,0.964,0.866,0.27,0.102,0.111,0.302,0.903,0.756,0.757,7
32.95,-115.55,-30,0.181,0.104,0.06,0.019,0.007,0.006,0.012,0.034,0.047,0.05,0.077,0.159,1
38.25,-119.2333,1972,1,1,0.896,0.601,0.491,0.187,0.109,0.11,0.191,0.552,1,0.992,7
38.7667,-122.15,90,0.832,0.942,1,0.85,0.209,0.071,0.031,0.032,0.111,0.51,1,0.866,7
34.1833,-118.3333,200,1,1,0.986,0.338,0.066,0.01,0.002,0.013,0.044,0.118,0.67,0.99,4
40.8833,-121.65,975,0.657,0.716,0.919,1,0.642,0.215,0.087,0.097,0.289,0.868,0.829,0.686,7
35.4,-119.4667,82,0.752,0.599,0.352,0.155,0.045,0.009,0.006,0.009,0.037,0.091,0.347,0.618,1
34.5667,-119.9833,238,1,1,1,0.906,0.275,0.098,0.06,0.053,0.088,0.218,0.82,1,7
38.2833,-120.3167,1431,0.79,0.683,0.859,1,0.551,0.131,0.051,0.071,0.206,0.726,0.924,0.786,7
38.5833,-122.5667,113,0.841,0.843,0.967,1,0.41,0.115,0.051,0.054,0.16,0.68,0.972,0.767,7
41.3167,-122.8,971,0.713,0.625,0.836,1,0.774,0.289,0.132,0.155,0.352,0.928,0.794,0.763,7
32.6167,-116.4667,802,1,1,0.871,0.308,0.092,0.019,0.04,0.073,0.089,0.176,0.593,0.965,4
38.25,-120.8667,201,0.959,1,1,0.971,0.305,0.093,0.046,0.046,0.116,0.44,0.996,1,7
41.4167,-120.9,1314,1,0.987,0.908,0.737,0.403,0.212,0.094,0.101,0.214,0.678,1,1,7
34.1833,-118.5667,241,1,1,1,0.54,0.102,0.022,0.009,0.015,0.04,0.135,0.764,1,4
40.1667,-121.0833,1390,0.852,0.696,0.809,1,0.602,0.214,0.096,0.105,0.268,0.826,0.888,0.787,7
41.1333,-123.1333,710,0.715,0.765,0.882,1,0.595,0.226,0.107,0.139,0.335,0.922,0.822,0.697,7
41.5333,-120.1667,1423,1,1,0.977,0.934,0.389,0.195,0.089,0.092,0.173,0.556,1,1,7
37.9667,-119.9167,1452,0.597,0.761,0.857,1,0.52,0.148,0.063,0.069,0.2,0.68,0.941,0.798,7
40.3,-121.2333,1379,0.869,0.765,0.692,0.986,0.396,0.165,0.065,0.085,0.264,0.832,0.855,0.78,7
39.6833,-121.8167,56,0.891,0.942,1,0.934,0.274,0.093,0.03,0.036,0.128,0.531,1,0.925,7
32.6333,-117.0833,17,0.765,0.583,0.436,0.189,0.05,0.016,0.008,0.009,0.034,0.111,0.462,0.674,1
38.9167,-122.5667,411,0.881,0.83,0.967,0.963,0.277,0.096,0.041,0.052,0.153,0.653,0.982,0.82,7
38.8,-123.0167,101,0.842,0.837,0.975,1,0.452,0.125,0.06,0.069,0.181,0.717,0.904,0.841,7
36.1333,-120.3667,204,1,1,1,0.493,0.088,0.021,0.009,0.009,0.038,0.182,0.772,1,4
39.1167,-120.95,731,0.694,0.75,0.837,1,0.56,0.131,0.041,0.046,0.195,0.748,0.828,0.697,7
39.1833,-122.0333,15,0.967,0.994,1,0.786,0.202,0.077,0.032,0.03,0.093,0.395,0.982,1,7
36.1,-119.5833,61,1,0.721,0.369,0.167,0.05,0.01,0.005,0.008,0.036,0.102,0.423,0.862,4
33.8833,-117.55,186,1,1,0.972,0.301,0.073,0.012,0.007,0.02,0.052,0.114,0.585,0.962,4
39.8167,-123.25,430,0.834,0.735,0.936,1,0.566,0.179,0.083,0.101,0.252,0.829,0.903,0.843,7
41.8,-124.2167,12,0.874,0.784,0.842,0.964,0.996,0.435,0.169,0.221,0.541,0.97,0.858,0.856,8
34,-118.4167,17,1,1,0.725,0.22,0.052,0.01,0.007,0.02,0.054,0.128,0.642,0.944,4
32.9833,-116.5833,1414,0.954,0.905,0.985,0.986,0.39,0.118,0.108,0.156,0.208,0.39,0.948,1,7
34.85,-116.7833,584,0.39,0.243,0.145,0.066,0.027,0.011,0.032,0.051,0.053,0.061,0.153,0.308,1
38.5333,-121.7833,18,0.989,1,1,0.777,0.203,0.079,0.04,0.033,0.09,0.356,0.966,1,7
36.4667,-116.8667,-59,0.135,0.121,0.053,0.022,0.007,0.006,0.012,0.016,0.024,0.019,0.075,0.094,1
37.3667,-117.9833,1593,1,0.854,0.304,0.141,0.08,0.047,0.049,0.057,0.077,0.129,0.512,0.951,4
39.3,-120.8333,1358,0.57,0.655,0.713,0.959,0.787,0.221,0.077,0.089,0.28,0.889,0.779,0.714,7
39.8667,-121.6167,826,0.748,0.826,0.793,0.946,0.623,0.202,0.075,0.084,0.29,0.886,0.88,0.731,7
39.3667,-121.2,500,0.597,0.604,0.823,0.991,0.434,0.088,0.022,0.036,0.179,0.787,0.796,0.675,7
39.3167,-120.2333,1810,1,0.968,0.917,0.744,0.481,0.18,0.081,0.099,0.244,0.782,0.909,0.886,7
39.5667,-120.8167,888,0.711,0.667,0.78,0.969,0.644,0.172,0.054,0.069,0.26,0.894,0.778,0.754,7
39.9667,-120.0833,1338,1,1,1,0.719,0.26,0.131,0.072,0.073,0.143,0.462,0.987,1,7
34.4833,-118.5333,443,1,1,1,0.594,0.105,0.018,0.009,0.015,0.046,0.137,0.738,1,4
41.1833,-122.2667,661,0.666,0.758,0.796,1,0.721,0.226,0.088,0.111,0.308,0.899,0.835,0.75,7
33.8167,-115.45,297,0.314,0.191,0.125,0.055,0.021,0.014,0.039,0.076,0.067,0.066,0.136,0.248,1
39.3667,-122.5167,367,0.828,0.894,1,0.892,0.205,0.064,0.018,0.03,0.12,0.534,0.992,0.853,7
32.8167,-116.9833,123,0.996,0.846,0.582,0.256,0.075,0.02,0.014,0.021,0.043,0.124,0.518,0.835,4
32.8833,-116.8167,183,1,1,0.707,0.279,0.087,0.015,0.013,0.031,0.052,0.134,0.543,0.914,4
32.7667,-115.5667,-9,0.17,0.101,0.054,0.018,0.007,0.006,0.015,0.035,0.053,0.067,0.093,0.173,1
38.3333,-120.6667,218,0.784,0.883,0.93,1,0.388,0.103,0.048,0.049,0.16,0.613,0.97,0.881,7
34.5833,-117.6333,899,0.786,0.523,0.289,0.138,0.044,0.011,0.016,0.028,0.033,0.07,0.408,0.703,1
33.6667,-117.3333,392,1,1,0.919,0.306,0.091,0.02,0.013,0.027,0.062,0.127,0.594,0.961,4
